# run_id: cl23_ukf_full_20260619
# started_at: 2026-06-19T17:23:56Z
# git_sha: unknown
# build_type: Release
# compiler: unknown
# host: unknown
# seeds: [0]
# configs: 20
# scenarios: 29
# total_runs: 580
# elapsed_seconds: 3292.64
run_id,config,scenario,seed,metric,value,unit
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,pos_rmse_m:truth_1,6.5582,m
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,sog_rmse_mps:truth_1,2.86774,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,cog_rmse_deg:truth_1,5.91372,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,rmse_n:truth_1,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,lifetime_ratio:truth_2,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,track_breaks:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,id_switches:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,pos_rmse_m:truth_2,6.3089,m
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,sog_rmse_mps:truth_2,2.82471,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,cog_rmse_deg:truth_2,2.50731,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,rmse_n:truth_2,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_mean,1.44967,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_median,1.09746,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_p95,4.26172,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_p99,5.03801,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_coverage_95,1,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_beta_hat,0.724837,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_n,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nees_dropped_singular,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nis_mean:ais_pos2d_sim,1.86184,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nis_coverage_95:ais_pos2d_sim,0.948718,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nis_alpha_hat:ais_pos2d_sim,0.930918,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nis_trace_ratio:ais_pos2d_sim,0.77477,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nis_n:ais_pos2d_sim,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_robust,crossing,0,nis_dropped_singular:ais_pos2d_sim,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,ospa_mean,18.1586,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,ospa_p95,11.4267,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,gospa_mean,8.5024,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,gospa_p95,16.1598,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,gospa_rms,9.41789,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,lifetime_ratio,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,track_breaks,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,id_switches,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,pos_rmse_m,6.34711,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,sog_rmse_mps,2.64879,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,cog_rmse_deg,4.32837,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,lifetime_ratio:truth_1,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,track_breaks:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,id_switches:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,pos_rmse_m:truth_1,6.6145,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,sog_rmse_mps:truth_1,2.58667,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,cog_rmse_deg:truth_1,6.01671,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,rmse_n:truth_1,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,lifetime_ratio:truth_2,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,track_breaks:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,id_switches:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,pos_rmse_m:truth_2,6.07971,m
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,sog_rmse_mps:truth_2,2.71091,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,cog_rmse_deg:truth_2,2.64003,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,rmse_n:truth_2,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_mean,1.51171,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_median,1.01907,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_p95,4.50144,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_p99,5.38701,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_coverage_95,1,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_beta_hat,0.755854,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_n,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nees_dropped_singular,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nis_mean:ais_pos2d_sim,1.89233,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nis_coverage_95:ais_pos2d_sim,0.935897,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nis_alpha_hat:ais_pos2d_sim,0.946165,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nis_trace_ratio:ais_pos2d_sim,0.720021,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nis_n:ais_pos2d_sim,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_ipda,crossing,0,nis_dropped_singular:ais_pos2d_sim,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,ospa_mean,18.1586,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,ospa_p95,11.4267,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,gospa_mean,8.5024,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,gospa_p95,16.1598,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,gospa_rms,9.41789,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,lifetime_ratio,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,track_breaks,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,id_switches,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,pos_rmse_m,6.34711,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,sog_rmse_mps,2.64879,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,cog_rmse_deg,4.32837,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,lifetime_ratio:truth_1,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,track_breaks:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,id_switches:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,pos_rmse_m:truth_1,6.6145,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,sog_rmse_mps:truth_1,2.58667,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,cog_rmse_deg:truth_1,6.01671,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,rmse_n:truth_1,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,lifetime_ratio:truth_2,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,track_breaks:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,id_switches:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,pos_rmse_m:truth_2,6.07971,m
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,sog_rmse_mps:truth_2,2.71091,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,cog_rmse_deg:truth_2,2.64003,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,rmse_n:truth_2,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_mean,1.51171,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_median,1.01907,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_p95,4.50144,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_p99,5.38701,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_coverage_95,1,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_beta_hat,0.755854,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_n,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nees_dropped_singular,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nis_mean:ais_pos2d_sim,1.89233,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nis_coverage_95:ais_pos2d_sim,0.935897,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nis_alpha_hat:ais_pos2d_sim,0.946165,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nis_trace_ratio:ais_pos2d_sim,0.720021,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nis_n:ais_pos2d_sim,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_nobias,crossing,0,nis_dropped_singular:ais_pos2d_sim,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,ospa_mean,18.1586,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,ospa_p95,11.4267,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,gospa_mean,8.5024,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,gospa_p95,16.1598,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,gospa_rms,9.41789,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,lifetime_ratio,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,track_breaks,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,id_switches,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,pos_rmse_m,6.34711,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,sog_rmse_mps,2.64879,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,cog_rmse_deg,4.32837,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,lifetime_ratio:truth_1,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,track_breaks:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,id_switches:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,pos_rmse_m:truth_1,6.6145,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,sog_rmse_mps:truth_1,2.58667,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,cog_rmse_deg:truth_1,6.01671,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,rmse_n:truth_1,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,lifetime_ratio:truth_2,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,track_breaks:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,id_switches:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,pos_rmse_m:truth_2,6.07971,m
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,sog_rmse_mps:truth_2,2.71091,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,cog_rmse_deg:truth_2,2.64003,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,rmse_n:truth_2,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_mean,1.51171,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_median,1.01907,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_p95,4.50144,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_p99,5.38701,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_coverage_95,1,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_beta_hat,0.755854,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_n,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nees_dropped_singular,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nis_mean:ais_pos2d_sim,1.89233,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nis_coverage_95:ais_pos2d_sim,0.935897,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nis_alpha_hat:ais_pos2d_sim,0.946165,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nis_trace_ratio:ais_pos2d_sim,0.720021,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nis_n:ais_pos2d_sim,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_novis,crossing,0,nis_dropped_singular:ais_pos2d_sim,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,ospa_mean,18.1586,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,ospa_p95,11.4267,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,gospa_mean,8.5024,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,gospa_p95,16.1598,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,gospa_rms,9.41789,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,lifetime_ratio,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,track_breaks,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,id_switches,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,pos_rmse_m,6.34711,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,sog_rmse_mps,2.64879,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,cog_rmse_deg,4.32837,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,lifetime_ratio:truth_1,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,track_breaks:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,id_switches:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,pos_rmse_m:truth_1,6.6145,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,sog_rmse_mps:truth_1,2.58667,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,cog_rmse_deg:truth_1,6.01671,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,rmse_n:truth_1,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,lifetime_ratio:truth_2,0.975,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,track_breaks:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,id_switches:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,pos_rmse_m:truth_2,6.07971,m
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,sog_rmse_mps:truth_2,2.71091,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,cog_rmse_deg:truth_2,2.64003,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,rmse_n:truth_2,39,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_mean,1.51171,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_median,1.01907,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_p95,4.50144,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_p99,5.38701,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_coverage_95,1,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_beta_hat,0.755854,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_n,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nees_dropped_singular,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nis_mean:ais_pos2d_sim,1.89233,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nis_coverage_95:ais_pos2d_sim,0.935897,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nis_alpha_hat:ais_pos2d_sim,0.946165,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nis_trace_ratio:ais_pos2d_sim,0.720021,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nis_n:ais_pos2d_sim,78,count
cl23_ukf_full_20260619,imm_cv_ct_mht_mofn,crossing,0,nis_dropped_singular:ais_pos2d_sim,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,ospa_mean,30.4991,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,ospa_p95,37.6942,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,gospa_mean,8.77691,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,gospa_p95,18.9523,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,gospa_rms,9.83172,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,lifetime_ratio,0.95,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,track_breaks,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,id_switches,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,pos_rmse_m,6.34589,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,sog_rmse_mps,2.02605,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,cog_rmse_deg,3.0328,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,lifetime_ratio:truth_1,0.95,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,track_breaks:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,id_switches:truth_1,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,pos_rmse_m:truth_1,6.62601,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,sog_rmse_mps:truth_1,2.33695,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,cog_rmse_deg:truth_1,3.58779,deg
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,rmse_n:truth_1,38,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,lifetime_ratio:truth_2,0.95,ratio
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,track_breaks:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,id_switches:truth_2,0,count
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,pos_rmse_m:truth_2,6.06577,m
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,sog_rmse_mps:truth_2,1.71516,m/s
cl23_ukf_full_20260619,imm_cv_ct_mht_cmap,crossing,0,cog_rmse_deg:truth_2,2.4778,deg
